module	A2O.1	A2O.72	A2O.116	A2O.95	A2O.43	A2O.131	A2O.83	A2O.98	A2O.85	AO.7	A2O.3	A2O.126	AO.76	AO.50	AO.84	A2O.122	AO.32	A2O.11	A2O.97	AO.10	AO.9	A2O.14	A2O.133	AO.25	AO.99	A2O.71	A2O.26	A2O.88	A2O.92	A2O.105	AO.94	A2O.103	AO.46	AO.28	AO.72	A2O.89	AO.34	A2O.73	A2O.148	A2O.156	AO.71	AO.20	AO.78	AO.1	A2O.112	A2O.107	A2O.140	AO.63	AO.35	A2O.77	A2O.134	A2O.82	A2O.4	AO.5	AO.68	A2O.47	AO.69	A2O.21	A2O.125	AO.73	A2O.49	A2O.123	A2O.132	AO.65	A2O.29	A2O.84	A2O.19	A2O.58	AO.15	A2O.8	A2O.28	AO.90	A2O.50	AO.95	AO.16	A2O.67	AO.54	A2O.13	A2O.158	A2O.65	AO.74	A2O.90	A2O.20	A2O.147	A2O.127	A2O.78	AO.33	AO.53	A2O.157	A2O.33	A2O.119	A2O.22	A2O.15	A2O.34	A2O.155	AO.97	A2O.44	AO.17	A2O.70	AO.82	AO.75	AO.83	A2O.76	A2O.159	A2O.113	A2O.81	AO.85	A2O.114	A2O.117	A2O.128	A2O.27	A2O.120	AO.14	AO.27	A2O.54	A2O.124	A2O.118	A2O.45	A2O.102	AO.92	AO.64	AO.2	A2O.144	A2O.151	A2O.51	A2O.130	AO.89	A2O.69	A2O.136	A2O.61	AO.26	A2O.106	AO.39	A2O.53	A2O.48	A2O.6	AO.86	A2O.93	A2O.18	A2O.40	AO.57	A2O.142	AO.38	AO.77	AO.12	A2O.56	A2O.35	A2O.12	AO.67	A2O.17	AO.36	AO.18	A2O.91	AO.3	A2O.68	AO.59	A2O.129	AO.43	A2O.32	A2O.86	A2O.108	A2O.57	AO.49	AO.40	A2O.52	A2O.16	A2O.135	AO.22	A2O.99	A2O.36	AO.91	A2O.111	AO.24	A2O.100	AO.61	AO.62	A2O.94	AO.58	A2O.38	A2O.143	AO.56	A2O.139	A2O.30	A2O.9	A2O.24	A2O.31	A2O.46	A2O.74	A2O.42	A2O.25	AO.23	AO.29	AO.41	A2O.138	AO.80	A2O.146	A2O.41	AO.8	AO.79	AO.93	AO.51	AO.21	A2O.145	A2O.79	A2O.149	A2O.121	AO.13	A2O.104	A2O.5	A2O.39	A2O.62	A2O.60	A2O.109	AO.42	A2O.115	AO.55	A2O.66	A2O.152	A2O.101	AO.44	AO.52	AO.30	AO.88	AO.45	A2O.137	A2O.7	AO.4	A2O.87	A2O.96	AO.66	A2O.64	A2O.80	A2O.75	A2O.23	AO.87	AO.6	AO.48	A2O.55	AO.81	AO.11	A2O.10	A2O.110	A2O.63	AO.60	A2O.37	A2O.141	A2O.2	AO.19	AO.98	A2O.59	A2O.153	A2O.150	AO.37	AO.70	AO.96	AO.31	A2O.154
M00579	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.3333333333333333	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.3333333333333333	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.5	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.6666666666666667	1.0	0.0	0.0	1.3333333333333333	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.3333333333333333	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.3333333333333333	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.3333333333333333	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
M00577	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.25	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.75	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.25	1.25	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.25	0.0	1.0	0.0	1.25	0.0	1.0	0.0	0.0	0.0	1.25	1.0	0.0	0.0	0.0	1.0	1.25	1.25	1.25	1.3333333333333333	0.0	1.0	0.0	1.0	1.25	0.0	1.0	0.0	0.0	1.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.5	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.25	0.0	1.0	0.0	1.3333333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.25	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.25	1.0	0.0	1.0	1.0	0.0	1.0	1.25	0.0	1.0	1.3333333333333333	0.0	1.3333333333333333	1.0	1.0	0.0	1.25	1.3333333333333333	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
M00576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00570	0.0	1.2	2.2	1.4	0.0	0.0	0.0	0.0	1.6666666666666667	0.0	0.0	1.0	1.4	2.3333333333333335	0.0	0.0	0.0	1.4	0.0	1.6666666666666667	0.0	2.3333333333333335	1.0	1.2	1.6666666666666667	1.0	0.0	2.3333333333333335	1.0	0.0	0.0	2.3333333333333335	2.3333333333333335	1.6666666666666667	0.0	1.4	0.0	1.1666666666666667	1.8333333333333333	1.0	1.1666666666666667	1.0	0.0	1.5	1.1666666666666667	1.3333333333333333	0.0	0.0	0.0	1.5	0.0	1.3333333333333333	0.0	1.1666666666666667	0.0	1.0	1.5	1.6666666666666667	0.0	1.0	0.0	1.0	2.4	0.0	1.1666666666666667	1.0	0.0	1.3333333333333333	1.7142857142857142	1.5	1.8333333333333333	1.1666666666666667	1.3333333333333333	1.0	0.0	0.0	0.0	1.5	1.8333333333333333	0.0	1.5	2.0	0.0	0.0	1.2	1.5	0.0	1.1666666666666667	0.0	0.0	0.0	0.0	0.0	1.0	1.5714285714285714	1.2	1.3333333333333333	1.3333333333333333	1.5	1.2	1.3333333333333333	1.3333333333333333	0.0	1.5	1.6	1.3333333333333333	0.0	2.4	1.6666666666666667	1.6	1.6	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.1666666666666667	2.6666666666666665	2.3333333333333335	0.0	0.0	1.6666666666666667	0.0	2.5	0.0	1.6666666666666667	0.0	0.0	2.2	1.5	2.0	1.8333333333333333	1.5	0.0	2.1666666666666665	0.0	1.0	2.5	1.6666666666666667	0.0	0.0	1.25	1.8	1.6666666666666667	0.0	1.4	1.3333333333333333	1.4	0.0	1.3333333333333333	0.0	1.3333333333333333	0.0	1.1666666666666667	2.0	2.25	0.0	1.25	2.0	1.3333333333333333	1.2	0.0	0.0	1.8333333333333333	0.0	1.6666666666666667	0.0	0.0	0.0	1.6	1.75	1.5	1.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	1.3333333333333333	1.2	2.3333333333333335	0.0	0.0	0.0	0.0	0.0	3.3333333333333335	2.0	0.0	1.0	1.0	0.0	0.0	0.0	2.4	1.25	1.4	1.0	0.0	1.1666666666666667	0.0	1.6666666666666667	1.2	0.0	0.0	1.25	1.6666666666666667	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	1.0	1.3333333333333333	0.0	0.0	1.3333333333333333	0.0	1.3333333333333333	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
M00573	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.25	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.75	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.25	1.25	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.25	0.0	1.0	0.0	1.25	0.0	1.0	0.0	0.0	0.0	1.25	1.0	0.0	0.0	0.0	1.0	1.25	1.25	1.25	1.3333333333333333	0.0	1.0	0.0	1.4	1.25	0.0	1.0	0.0	0.0	1.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.5	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.25	0.0	1.0	0.0	1.25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.25	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.25	1.0	0.0	1.0	1.0	0.0	1.0	1.25	0.0	1.0	1.3333333333333333	0.0	1.3333333333333333	1.0	1.0	0.0	1.25	1.3333333333333333	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
M00572	1.8333333333333333	1.75	7.0	3.8	2.0	0.0	3.4	4.0	3.0	1.4	1.8	1.8333333333333333	1.6666666666666667	2.857142857142857	2.6666666666666665	1.3333333333333333	5.25	2.8	2.6666666666666665	3.4	2.0	3.0	1.5	2.8	3.4	0.0	3.5	2.3333333333333335	0.0	0.0	5.25	4.0	3.0	3.6	1.5	0.0	0.0	2.3333333333333335	1.6	1.25	2.4	1.5	2.0	1.6666666666666667	1.1428571428571428	3.75	2.6	3.25	2.3333333333333335	5.6	2.7142857142857144	3.2	2.0	1.4	3.25	1.3333333333333333	1.3333333333333333	3.4	2.6	1.0	3.25	2.2857142857142856	7.5	1.6666666666666667	2.4	1.5	1.6666666666666667	3.0	4.75	6.333333333333333	0.0	2.4	2.6666666666666665	1.5	3.3333333333333335	1.75	2.3333333333333335	0.0	4.0	0.0	4.666666666666667	3.6	1.6666666666666667	0.0	0.0	2.8333333333333335	1.8	2.25	2.0	0.0	1.8	2.4	5.25	1.5	3.6	3.3333333333333335	2.75	2.75	0.0	3.3333333333333335	3.0	2.3333333333333335	2.0	2.25	0.0	0.0	2.5	0.0	2.6666666666666665	0.0	2.25	2.0	1.6666666666666667	1.8	0.0	1.2857142857142858	0.0	2.0	0.0	4.75	4.75	0.0	3.6666666666666665	4.75	1.6666666666666667	4.333333333333333	0.0	2.3333333333333335	1.3333333333333333	0.0	3.2	4.333333333333333	0.0	0.0	3.2	2.0	3.8	2.75	0.0	4.166666666666667	2.0	1.2	0.0	1.6666666666666667	0.0	5.25	0.0	3.75	1.6666666666666667	2.0	1.25	1.4285714285714286	0.0	2.6666666666666665	2.75	1.4285714285714286	4.6	3.8	3.0	3.6666666666666665	4.6	4.833333333333333	4.833333333333333	2.6666666666666665	3.0	3.75	4.5	3.5	4.5	3.3333333333333335	3.0	1.8	2.8	2.75	3.6666666666666665	1.6666666666666667	1.6666666666666667	1.6666666666666667	1.6666666666666667	0.0	1.8	2.5	1.6666666666666667	2.0	2.75	6.666666666666667	0.0	3.5	1.25	2.6666666666666665	1.6666666666666667	0.0	2.6666666666666665	3.6666666666666665	4.666666666666667	0.0	2.3333333333333335	2.0	4.75	5.2	5.2	2.25	1.6666666666666667	3.0	2.0	4.4	3.0	3.5	3.25	1.0	7.4	2.2	3.8333333333333335	4.5	2.6	0.0	6.6	2.0	6.25	0.0	2.5	0.0	4.2	0.0	0.0	0.0	0.0	1.5	1.0	0.0	0.0	2.25	0.0	0.0	0.0	2.6666666666666665	3.6	2.6666666666666665	1.75	1.6666666666666667	0.0	0.0	0.0	0.0	2.5	2.0	0.0	1.5	0.0	4.5	0.0	2.3333333333333335	0.0	0.0	0.0	1.2	0.0
M00733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1428571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
